station_id,day_name,hour,avg_docks
1,0,0,13.69
1,0,1,14.86
1,0,2,14.0
1,0,3,11.67
1,0,4,10.5
1,0,5,16.0
1,0,6,10.2
1,0,7,8.12
1,0,8,6.69
1,0,9,6.28
1,0,10,5.12
1,0,11,8.48
1,0,12,7.6
1,0,13,7.66
1,0,14,8.48
1,0,15,7.72
1,0,16,8.82
1,0,17,8.69
1,0,18,11.33
1,0,19,12.48
1,0,20,16.37
1,0,21,24.27
1,0,22,23.21
1,0,23,28.43
1,1,0,24.15
1,1,1,31.0
1,1,2,31.0
1,1,3,18.33
1,1,4,12.0
1,1,5,16.82
1,1,6,16.75
1,1,7,19.58
1,1,8,19.91
1,1,9,14.42
1,1,10,13.42
1,1,11,15.04
1,1,12,12.38
1,1,13,11.75
1,1,14,11.83
1,1,15,12.44
1,1,16,12.37
1,1,17,14.04
1,1,18,16.05
1,1,19,16.52
1,1,20,19.94
1,1,21,18.94
1,1,22,19.92
1,1,23,23.0
1,2,0,23.31
1,2,1,23.0
1,2,2,22.57
1,2,3,21.55
1,2,4,21.0
1,2,5,23.0
1,2,6,20.1
1,2,7,18.0
1,2,8,15.43
1,2,9,14.18
1,2,10,11.22
1,2,11,9.18
1,2,12,8.0
1,2,13,7.19
1,2,14,7.25
1,2,15,7.75
1,2,16,8.43
1,2,17,9.43
1,2,18,7.65
1,2,19,12.33
1,2,20,12.54
1,2,21,15.77
1,2,22,15.73
1,2,23,19.0
1,3,0,20.44
1,3,1,22.2
1,3,2,19.0
1,3,3,17.75
1,3,4,12.0
1,3,5,23.0
1,3,6,21.62
1,3,7,18.4
1,3,8,15.55
1,3,9,12.13
1,3,10,12.6
1,3,11,14.36
1,3,12,8.74
1,3,13,4.62
1,3,14,4.83
1,3,15,4.92
1,3,16,6.21
1,3,17,4.12
1,3,18,2.5
1,3,19,2.68
1,3,20,4.1
1,3,21,5.38
1,3,22,6.22
1,3,23,11.22
1,4,0,10.4
1,4,3,11.5
1,4,4,12.86
1,4,5,11.62
1,4,6,10.17
1,4,7,10.15
1,4,8,6.25
1,4,9,9.8
1,4,10,9.73
1,4,11,8.35
1,4,12,8.22
1,4,13,4.83
1,4,14,6.0
1,4,15,6.48
1,4,16,5.17
1,4,17,3.33
1,4,18,3.65
1,4,19,6.43
1,4,20,2.73
1,4,21,4.57
1,4,22,6.25
1,4,23,7.78
1,5,0,12.14
1,5,1,7.0
1,5,2,7.86
1,5,3,10.0
1,5,4,12.8
1,5,5,9.92
1,5,6,6.36
1,5,7,4.89
1,5,8,5.88
1,5,9,8.56
